Country,Region
Saint Lucia,Latin America
Saint Vincent and the Grenadines,Latin America
Suriname,Latin America
Trinidad & Tobago,Latin America
Turks & Caicos Is,Latin America
Uruguay,Latin America
Venezuela,Latin America
Virgin Islands,Latin America
Iran,Middle East/North Africa
Bahrain,Middle East/North Africa
Cyprus,Middle East/North Africa
Gaza Strip,Middle East/North Africa
Iraq,Middle East/North Africa
Israel,Middle East/North Africa
Jordan,Middle East/North Africa
Kuwait,Middle East/North Africa
Lebanon,Middle East/North Africa
Oman,Middle East/North Africa
Qatar,Middle East/North Africa
Saudi Arabia,Middle East/North Africa
Syria,Middle East/North Africa
Turkey,Middle East/North Africa
United Arab Emirates,Middle East/North Africa
West Bank,Middle East/North Africa
Yemen,Middle East/North Africa
Algeria,Middle East/North Africa
Egypt,Middle East/North Africa
Libya,Middle East/North Africa
Morocco,Middle East/North Africa
Tunisia,Middle East/North Africa
Western Sahara,Middle East/North Africa
Bermuda,North America
Canada,North America
Greenland,North America
St Pierre & Miquelon,North America
United States,North America
American Samoa,Oceania
Australia,Oceania
Cook Islands,Oceania
Fiji,Oceania
French Polynesia,Oceania
Guam,Oceania
Kiribati,Oceania
Marshall Islands,Oceania
"Micronesia, Fed. St.",Oceania
N. Mariana Islands,Oceania
Nauru,Oceania
New Caledonia,Oceania
New Zealand,Oceania
Palau,Oceania
Papua New Guinea,Oceania
Samoa,Oceania
Solomon Islands,Oceania
Tonga,Oceania
Tuvalu,Oceania
Vanuatu,Oceania
Wallis and Futuna,Oceania
Angola,Sub-Saharan Africa
Benin,Sub-Saharan Africa
Botswana,Sub-Saharan Africa
Burkina Faso,Sub-Saharan Africa
Burundi,Sub-Saharan Africa
Cameroon,Sub-Saharan Africa
Cape Verde,Sub-Saharan Africa
Central African Republic,Sub-Saharan Africa
Chad,Sub-Saharan Africa
Comoros,Sub-Saharan Africa
"Congo, Dem. Rep.",Sub-Saharan Africa
"Congo, Rep.",Sub-Saharan Africa
Cote d'Ivoire,Sub-Saharan Africa
Djibouti,Sub-Saharan Africa
Equatorial Guinea,Sub-Saharan Africa
Eritrea,Sub-Saharan Africa
Ethiopia,Sub-Saharan Africa
Gabon,Sub-Saharan Africa
"Gambia, The",Sub-Saharan Africa
Ghana,Sub-Saharan Africa
Guinea,Sub-Saharan Africa
Guinea-Bissau,Sub-Saharan Africa
Kenya,Sub-Saharan Africa
Lesotho,Sub-Saharan Africa
Liberia,Sub-Saharan Africa
Madagascar,Sub-Saharan Africa
Malawi,Sub-Saharan Africa
Mali,Sub-Saharan Africa
Mauritania,Sub-Saharan Africa
Mauritius,Sub-Saharan Africa
Mayotte,Sub-Saharan Africa
Mozambique,Sub-Saharan Africa
Namibia,Sub-Saharan Africa
Niger,Sub-Saharan Africa
Nigeria,Sub-Saharan Africa
Reunion,Sub-Saharan Africa
Rwanda,Sub-Saharan Africa
Saint Helena,Sub-Saharan Africa
Sao Tome & Principe,Sub-Saharan Africa
Senegal,Sub-Saharan Africa
Seychelles,Sub-Saharan Africa
Sierra Leone,Sub-Saharan Africa
Somalia,Sub-Saharan Africa
South Africa,Sub-Saharan Africa
Sudan,Sub-Saharan Africa
Swaziland,Sub-Saharan Africa
Tanzania,Sub-Saharan Africa
Togo,Sub-Saharan Africa
Uganda,Sub-Saharan Africa
Zambia,Sub-Saharan Africa
Zimbabwe,Sub-Saharan Africa
Andorra,Western Europe
Austria,Western Europe
Belgium,Western Europe
Denmark,Western Europe
Faroe Islands,Western Europe
Finland,Western Europe
France,Western Europe
Germany,Western Europe
Gibraltar,Western Europe
Greece,Western Europe
Guernsey,Western Europe
Iceland,Western Europe
Ireland,Western Europe
Isle of Man,Western Europe
Italy,Western Europe
Jersey,Western Europe
Liechtenstein,Western Europe
Luxembourg,Western Europe
Malta,Western Europe
Monaco,Western Europe
Netherlands,Western Europe
Norway,Western Europe
Portugal,Western Europe
San Marino,Western Europe
Spain,Western Europe
Sweden,Western Europe
Switzerland,Western Europe
United Kingdom,Western Europe
